method,mean_auc,mean_delay,mean_fpr,mean_runtime
centroid,1.0,0.0,0.09583333333333334,9.979307651519775e-05
covariance,1.0,0.0,0.09583333333333334,0.23842372993628183
mmd,1.0,0.0,0.09583333333333334,0.12518872519334157
tda_wasserstein_h0,0.7131944444444445,3.5,0.09583333333333334,0.002208770314852397
knn,0.7112152777777778,2.0,0.09583333333333334,0.031268537044525146
tda_entropy_h1,0.6236111111111111,4.5,0.09583333333333334,0.0001050849755605062
tda_betti_auc,0.5795138888888889,4.583333333333333,0.09583333333333334,0.03700199822584788
tda_phd,0.5176736111111111,5.416666666666667,0.09583333333333334,0.05656706293423971
tda_entropy_h0,0.4935416666666667,6.5,0.09583333333333334,0.03700199822584788
