method,mean_auc,std_auc,mean_delay,mean_fpr,mean_runtime
covariance,1.0,0.0,0.03333333333333333,0.1,1.5738578776518504
mmd,0.979638888888889,0.055519369099986345,0.3333333333333333,0.1,1.5738578776518504
centroid,0.9795,0.04952058294884276,0.15,0.1,1.5738578776518504
energy,0.9291111111111111,0.12434433660535361,1.2,0.1,1.5738578776518504
tda_wass_h1,0.8321388888888889,0.19170698523776242,1.7333333333333334,0.1,1.5738578776518504
tda_h1_total_persistence,0.7642152777777778,0.187259294517417,2.5166666666666666,0.1,1.5738578776518504
tda_wass_h0,0.7250416666666666,0.2721161351906084,3.5,0.1,1.5738578776518504
knn,0.690875,0.18135866279712992,3.966666666666667,0.1,1.5738578776518504
tda_phd,0.6827152777777777,0.23801730869841067,4.15,0.1,1.5738578776518504
tda_h0_max_lifetime,0.6721736111111111,0.2526886390929824,2.533333333333333,0.1,1.5738578776518504
tda_h0_std_lifetime,0.6706319444444445,0.19725803271773987,3.933333333333333,0.1,1.5738578776518504
tda_h0_mean_lifetime,0.6576111111111111,0.2574847767000336,4.366666666666666,0.1,1.5738578776518504
tda_h1_max_lifetime,0.6016597222222223,0.22307527742918948,4.95,0.1,1.5738578776518504
tda_h0_total_persistence,0.599875,0.287298364361483,4.6,0.1,1.5738578776518504
tda_h1_n_features,0.5889270833333333,0.19665812616489525,3.1666666666666665,0.09000000000000001,1.5738578776518504
tda_bottleneck_h0,0.5688020833333333,0.21086891540381317,4.55,0.08333333333333333,1.5738578776518504
tda_pe_h1,0.5594166666666667,0.18184088857312083,3.966666666666667,0.1,1.5738578776518504
tda_pe_h0,0.5182152777777778,0.2030768951681743,5.55,0.1,1.5738578776518504
